Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
281,0.321418285,0.043512881,0.138947099,0.277905405,0.182471186
282,0.194999903,0.021040827,0.280526459,0.173959076,0.085526556
283,0.059598979,0.027281806,0.784463584,0.032317173,0.724864602
284,0.122551471,0.053215858,0.457050264,0.069335610,0.334498793
285,0.164559782,0.046475552,0.190929472,0.118084230,0.026369691
286,0.186688185,0.164229333,0.119865872,0.022458851,0.066822313
287,0.245207697,0.259688944,0.050692920,0.014481246,0.194514781
288,0.615454555,0.559999585,0.042299796,0.055454969,0.573154747
289,0.407389134,0.309568495,0.066257626,0.097820640,0.341131508
290,0.249115929,0.148676440,0.082294993,0.100439489,0.166820943
291,0.133091435,0.063372694,0.291487724,0.069718741,0.158396289
292,0.028425798,0.075247139,0.914930701,0.046821341,0.886504889
293,0.095975459,0.214286268,0.231940016,0.118310809,0.135964558
294,0.195974782,0.148007482,0.090429798,0.047967300,0.105544984
295,0.328155369,0.490330249,0.051147260,0.162174881,0.277008116
296,0.468365580,0.500535965,0.019878784,0.032170385,0.448486805
297,0.294777751,0.754758000,0.040598787,0.459980249,0.254178971
298,0.275729805,0.295054913,0.049385492,0.019325107,0.226344317
299,0.232108623,0.153190210,0.077545166,0.078918412,0.154563457
300,0.254545301,0.149870709,0.216608748,0.104674593,0.037936553
301,0.100866430,0.081401780,0.954314113,0.019464649,0.853447676
302,0.190038472,0.137419075,0.135151088,0.052619398,0.054887384
303,0.197081923,0.075139888,0.102533810,0.121942036,0.094548114
304,0.399989247,0.238044366,0.045470260,0.161944881,0.354518980
305,0.687960863,0.457747936,0.037658367,0.230212927,0.650302470
306,0.867019594,0.876343191,0.120699242,0.009323597,0.746320367
307,0.022102438,0.244540676,0.147556767,0.222438246,0.125454336
308,0.022343608,0.137390018,0.116939507,0.115046412,0.094595902
309,0.034485348,0.099521577,0.081770003,0.065036230,0.047284655
310,0.104329504,0.127421528,0.851081729,0.023092024,0.746752203
311,0.194706723,0.157042488,0.191342160,0.037664235,0.003364563
312,0.036430277,0.043647282,0.132652253,0.007217005,0.096221976
313,0.077767804,0.112785138,0.110097118,0.035017334,0.032329313
314,0.435809225,0.296509057,0.390675753,0.139300168,0.045133471
315,0.290929675,0.506215990,0.649902463,0.215286314,0.358972788
316,0.132503361,0.121915638,0.119624391,0.010587722,0.012878969
317,0.113911025,0.100023180,0.173545659,0.013887845,0.059634633
318,0.115949884,0.363245249,0.192052394,0.247295365,0.076102510
319,0.112103462,0.625427425,0.278367668,0.513323963,0.166264206
320,0.187095433,0.175314009,0.225462988,0.011781424,0.038367555
321,0.376280248,0.117459677,0.200925648,0.258820564,0.175354600
322,0.256188065,0.192836568,0.157486886,0.063351497,0.098701179
323,0.785233557,0.337717354,0.550290048,0.447516203,0.234943509
324,0.619071722,0.223303571,0.455744892,0.395768166,0.163326830
325,0.179032981,0.061755005,0.122370251,0.117277980,0.056662731
326,0.143285155,0.080575578,0.247698218,0.062709577,0.104413062
327,0.127391830,0.365518719,0.227132887,0.238126889,0.099741057
